,id,homeTeamId,awayTeamId,homeTeamRuns,awayTeamRuns,homeTeamWin,date,awayName,homeName,538home,538away,exchangeHomePrice,bestHomeExchangeId,exchangeAwayPrice,bestAwayExchangeId,exchangeHomePercent,exchangeAwayPercent,spread,kellyProportionHome,kellyProportionAway,betSize,winnings,return,betTeam
0,1,2,30,2.0,1.0,1.0,2017-04-17,Pittsburgh Pirates,St. Louis Cardinals,0.51,0.49,0.75,1,1.1,1.0,0.5714285714285714,0.47619047619047616,0.04761904761904745,0.0,0.0,0.0,0.0,0.0,
1,2,10,5,7.0,4.0,1.0,2017-04-17,Chicago White Sox,New York Yankees,0.56,0.44,0.62,1,1.35,1.0,0.6172839506172839,0.425531914893617,0.042815865510901,0.0,0.0,0.0,0.0,0.0,
2,3,25,17,5.0,4.0,1.0,2017-04-17,San Diego Padres,Atlanta Braves,0.55,0.45,0.62,1,1.38,1.0,0.6172839506172839,0.42016806722689076,0.03745201784417462,0.0,0.0,0.0,0.0,0.0,
3,4,1,3,3.0,6.0,0.0,2017-04-17,Milwaukee Brewers,Chicago Cubs,0.65,0.35,0.5,1,1.63,1.0,0.6666666666666666,0.3802281368821293,0.04689480354879594,0.0,0.0,0.0,0.0,0.0,
4,5,4,27,3.0,0.0,1.0,2017-04-17,Los Angeles Angels,Houston Astros,0.6,0.4,0.62,1,1.35,1.0,0.6172839506172839,0.425531914893617,0.042815865510901,0.0,0.0,0.0,0.0,0.0,
5,6,28,7,1.0,3.0,0.0,2017-04-17,Cleveland Indians,Minnesota Twins,0.44,0.56,1.25,1,0.67,1.0,0.4444444444444444,0.5988023952095809,0.043246839654025315,0.0,0.0,0.0,0.0,0.0,
6,7,23,13,0.0,7.0,0.0,2017-04-17,Texas Rangers,Oakland Athletics,0.53,0.47,0.75,1,1.1,1.0,0.5714285714285714,0.47619047619047616,0.04761904761904745,0.0,0.0,0.0,0.0,0.0,
7,8,16,8,2.0,4.0,0.0,2017-04-17,Arizona Diamondbacks,Los Angeles Dodgers,0.59,0.41,0.62,1,1.35,1.0,0.6172839506172839,0.425531914893617,0.042815865510901,0.0,0.0,0.0,0.0,0.0,
8,9,12,11,6.0,1.0,1.0,2017-04-17,Miami Marlins,Seattle Mariners,0.56,0.44,0.67,1,1.25,1.0,0.5988023952095809,0.4444444444444444,0.043246839654025315,0.0,0.0,0.0,0.0,0.0,
9,10,10,5,1.0,4.0,0.0,2017-04-18,Chicago White Sox,New York Yankees,0.55,0.45,0.5,1,1.63,1.0,0.6666666666666666,0.3802281368821293,0.04689480354879594,0.0,0.11257668711656435,25.0,40.75,0.04075,away
10,11,14,18,7.0,8.0,0.0,2017-04-18,Boston Red Sox,Toronto Blue Jays,0.54,0.46,0.57,1,1.45,1.0,0.6369426751592357,0.4081632653061224,0.04510594046535821,0.0,0.08758620689655172,20.0,29.0,0.02786452077828489,away
