id,homeTeamId,awayTeamId,homeTeamRuns,awayTeamRuns,homeTeamWin,date,awayName,homeName,538home,538away,exchangeHomePrice,bestHomeExchangeId,exchangeAwayPrice,bestAwayExchangeId
1,2,30,2.0,1.0,1.0,2017-04-17,Pittsburgh Pirates,St. Louis Cardinals,0.510000,0.490000,0.75,1,1.10,1
2,10,5,7.0,4.0,1.0,2017-04-17,Chicago White Sox,New York Yankees,0.560000,0.440000,0.62,1,1.35,1
3,25,17,5.0,4.0,1.0,2017-04-17,San Diego Padres,Atlanta Braves,0.550000,0.450000,0.62,1,1.38,1
4,1,3,3.0,6.0,0.0,2017-04-17,Milwaukee Brewers,Chicago Cubs,0.650000,0.350000,0.50,1,1.63,1
5,4,27,3.0,0.0,1.0,2017-04-17,Los Angeles Angels,Houston Astros,0.600000,0.400000,0.62,1,1.35,1
6,28,7,1.0,3.0,0.0,2017-04-17,Cleveland Indians,Minnesota Twins,0.440000,0.560000,1.25,1,0.67,1
7,23,13,0.0,7.0,0.0,2017-04-17,Texas Rangers,Oakland Athletics,0.530000,0.470000,0.75,1,1.10,1
8,16,8,2.0,4.0,0.0,2017-04-17,Arizona Diamondbacks,Los Angeles Dodgers,0.590000,0.410000,0.62,1,1.35,1
9,12,11,6.0,1.0,1.0,2017-04-17,Miami Marlins,Seattle Mariners,0.560000,0.440000,0.67,1,1.25,1
10,10,5,1.0,4.0,0.0,2017-04-18,Chicago White Sox,New York Yankees,0.550000,0.450000,0.50,1,1.63,1
11,14,18,7.0,8.0,0.0,2017-04-18,Boston Red Sox,Toronto Blue Jays,0.540000,0.460000,0.57,1,1.45,1
12,6,19,9.0,3.0,1.0,2017-04-18,Baltimore Orioles,Cincinnati Reds,0.460000,0.540000,1.35,1,0.65,1
13,9,26,2.0,6.0,0.0,2017-04-18,Philadelphia Phillies,New York Mets,0.630000,0.370000,0.47,1,1.70,1
